,poistion,track_name,artist,popularity,followers,gen_1,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,track_id,art_id,album,year
321,22,Sorry,Justin Bieber,81,67760523,Pop,0.654,0.76,0,-3.669,0,0.045,0,0.299,0.41,99.945,200787,4,FALSE,09CtPGIpYB4BrO8qb1RGsF,1uNFoZAHBGtllmzznpCI3s,Purpose (Deluxe),2015
322,23,Centuries,Fall Out Boy,80,9643381,EDM,0.393,0.858,4,-2.868,0,0.0729,0,0.102,0.56,176.042,228360,4,FALSE,04aAxqtGp5pv12UXAg4pkq,4UXqAaa6dQYAk18Lv7PEgX,American Beauty/American Psycho,2015
323,24,Cool for the Summer,Demi Lovato,79,23654521,Dance,0.583,0.61,5,-5.639,0,0.0382,0.000105,0.14,0.336,114.06,214740,4,TRUE,3uwnnTQcHM1rDqSfA4gQNz,6S2OmqARrzebs0tKUEyXyp,Confident,2015
324,25,Time of Our Lives,Pitbull,79,9701610,Dance,0.721,0.802,1,-5.797,1,0.0583,0,0.694,0.724,124.022,229360,4,TRUE,2bJvI42r8EF3wxjOuDav4r,0TnOYISbd1XYRBk9myaseg,Globalization,2015
325,26,Drag Me Down,One Direction,79,28271703,Pop,0.73,0.703,0,-5.672,0,0.0369,0,0.0657,0.595,138.113,192120,4,FALSE,2K87XMYnUMqLcX3zvtAF4G,4AK6F7OLvEQ5QYCBNiQWHq,Made In The A.M. (Deluxe Edition),2015
326,27,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,79,12195671,Dance,0.63,0.53,0,-7.259,1,0.0434,0,0.177,0.417,108.038,225053,3,FALSE,2YlZnw2ikdb837oKMKjBkW,6JL8zeS1NmiOftqZTRgdTz,Title (Deluxe),2015
327,28,Outside (feat. Ellie Goulding),Calvin Harris,78,22985542,Dance,0.646,0.823,2,-4.123,0,0.0394,0,0.322,0.418,128.035,227267,4,FALSE,7MmG8p0F9N3C4AXdK6o6Eb,7CajNmpbOovFoOoasH2HaY,Motion,2015
328,29,Way down We Go,KALEO,78,1489423,Indie,0.489,0.505,10,-8.022,0,0.117,0.000333,0.104,0.337,163.255,213707,4,FALSE,0y1QJc3SJVPKJ1OvFmFqe6,7jdFEYD2LTYjfwxOdlVjmc,A/B,2015
329,30,Hotline Bling,Drake,77,69172212,Hip Hop,0.891,0.628,2,-7.863,1,0.0551,0.00019,0.0504,0.552,134.966,267067,4,FALSE,0wwPcA6wtMf6HUMpIRdeP7,3TVXtAsR1Inumwj472S9r4,Views,2015
330,31,Love Me Harder,Ariana Grande,77,85188706,Dance,0.472,0.714,1,-4.389,0,0.0334,0,0.0764,0.24,98.992,236133,4,FALSE,5J4ZkQpzMUFojo1CtAZYpn,66CXWjxzNUsdJxJ2JdwvnR,My Everything (Deluxe),2015
331,32,Locked Away (feat. Adam Levine),R. City,77,129955,Reggae,0.509,0.671,1,-5.709,1,0.0678,0,0.0452,0.55,118.413,227480,5,FALSE,7x5xYW5W42OGPAdHUyyguy,4TH4BHy0LdBi3dpBW4P2UX,What Dreams Are Made Of,2015
332,33,FourFiveSeconds,Rihanna,77,51162263,Pop,0.582,0.272,2,-5.662,1,0.0501,0,0.13,0.354,205.846,188238,4,FALSE,78TTtXnFQPzwqlbtbwqN0y,5pKCCKE2ajJHZ9KAiaK11H,FourFiveSeconds,2015
333,34,Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,77,241739,Rap,0.886,0.427,6,-10.028,1,0.145,0.00099,0.0906,0.23,108.034,177184,4,TRUE,5uDASfU19gDxSjW8cnCaBp,2hWs22BmQkK4czFtDLnar2,Chill Bill (feat. J. Davi$ & Spooks),2015
334,35,Perfect,One Direction,78,28271703,Pop,0.647,0.823,2,-5.231,1,0.0762,0,0.119,0.396,99.933,230333,4,FALSE,3NLnwwAQbbFKcEcV8hDItk,4AK6F7OLvEQ5QYCBNiQWHq,Made In The A.M. (Deluxe Edition),2015
335,36,Lush Life,Zara Larsson,76,10355852,Dance,0.694,0.712,7,-3.923,0,0.046,0,0.211,0.799,98.023,201122,4,FALSE,1rIKgCH4H52lrvDcz50hS8,1Xylc3o4UrD53lo9CvFvVg,So Good,2015
336,37,Fight Song,Rachel Platten,76,853035,Dance,0.564,0.714,7,-4.987,1,0.129,0,0.155,0.33,175.924,204013,4,FALSE,37f4ITSlgPX81ad2EvmVQr,3QLIkT4rD2FMusaqmkepbq,Wildfire,2015
