,poistion,track_name,artist,popularity,followers,genres,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,track_id,art_id,album,year
26,27,WITHOUT YOU,The Kid LAROI,78,4093726,"['australian hip hop', 'pop']",0.662,0.413,0,-7.357,1,0.0299,0,0.134,0.467,93.005,161385,4,True,27OeeYzk6klgBh83TSvGMA,2tIP7SsRs7vjIcLrU85W8J,F*CK LOVE (SAVAGE),2021
27,28,Heartbreak Anniversary,Giveon,83,2622007,"['pop', 'r&b']",0.449,0.465,0,-8.964,1,0.0791,1.02e-06,0.303,0.543,89.087,198371,3,False,3FAJ6O0NOHQV8Mc5Ri6ENp,4fxd5Ee7UefO4CUXgwJ7IP,TAKE TIME,2021
28,29,traitor,Olivia Rodrigo,86,22101003,['pop'],0.38,0.339,3,-7.885,1,0.0338,0,0.12,0.0849,100.607,229227,4,False,5CZ40GBx1sQ9agT82CLQCT,1McMsnEElThX1knmY4oliG,SOUR,2021
29,30,Pepas,Farruko,74,14319749,"['latin hip hop', 'reggaeton', 'trap latino']",0.762,0.766,7,-3.955,1,0.0343,6.98e-05,0.128,0.442,130.001,287120,4,True,2B4GHvToeLTOBB4QLzW3Ni,329e4yvIujISKGKz1BZZbO,La 167,2021
30,31,positions,Ariana Grande,84,85119135,"['dance pop', 'pop']",0.737,0.802,0,-4.771,1,0.0878,0,0.0931,0.682,144.015,172325,4,True,35mvY5S1H3J2QZyna3TFe0,66CXWjxzNUsdJxJ2JdwvnR,Positions,2021
31,32,Someone You Loved,Lewis Capaldi,87,10120269,"['pop', 'uk pop']",0.501,0.405,1,-5.679,1,0.0319,0,0.105,0.446,109.891,182161,4,False,7qEHsqek33rTcFNT9PFqLf,4GNC7GD6oZMSxPGyXy4MNB,Divinely Uninspired To A Hellish Extent,2021
32,33,Bandido,Myke Towers,74,9915131,"['reggaeton', 'trap latino']",0.713,0.617,8,-4.637,1,0.0887,0,0.0962,0.682,168.021,232853,4,False,1xK1Gg9SxG8fy2Ya373oqb,7iK8PXO48WeuP03g8YR51W,Bandido,2021
33,34,I WANNA BE YOUR SLAVE,Måneskin,82,6478481,"['indie rock italiano', 'italian pop']",0.75,0.608,1,-4.008,1,0.0387,0,0.178,0.958,132.507,173347,4,True,4pt5fDVTg5GhEvEtlz9dKk,0lAWpj5szCSwM4rUMHYmrr,Teatro d'ira - Vol. I,2021
34,35,RAPSTAR,Polo G,81,8647248,['chicago rap'],0.789,0.536,6,-6.862,1,0.242,0,0.129,0.437,81.039,165926,4,True,18vXApRmJSgQ6wG2ll9AOg,6AgTAQt8XS6jRWi4sX7w49,Hall of Fame,2021
35,36,LA NOCHE DE ANOCHE,Bad Bunny,81,59583011,"['reggaeton', 'trap latino']",0.856,0.618,7,-4.892,1,0.286,0,0.0866,0.391,81.993,203201,4,False,2XIc1pqjXV3Cr2BQUGNBck,4q3ewBCX7sLwd24euuV69X,EL ÚLTIMO TOUR DEL MUNDO,2021
