,poistion,track_name,artist,popularity,followers,genres,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,track_id,art_id,album,year
0,1,As It Was,Harry Styles,93,24543919,['pop'],0.52,0.731,6,-5.338,0,0.0557,0.00101,0.311,0.662,173.93,167303,4,False,4LRPiXqCikLlN15c3yImP7,6KImCVD70vtIoJWnq6nGn3,As It Was,2022
1,2,Anti-Hero,Taylor Swift,97,62872493,['pop'],0.637,0.643,4,-6.571,1,0.0519,1.8e-06,0.142,0.533,97.008,200690,4,False,0V3wPSX9ygBnCm8psDIegu,06HL4z0CvFAxyc27GXpf02,Midnights,2022
2,3,Unholy (feat. Kim Petras),Sam Smith,100,20838804,"['dance pop', 'pop', 'uk pop']",0.714,0.472,2,-7.375,1,0.0864,4.51e-06,0.266,0.238,131.121,156943,4,False,3nqQXoyQOWXiESFLlDF1hG,2wY79sveU1sp5g7SokKOiI,Unholy (feat. Kim Petras),2022
3,4,First Class,Jack Harlow,73,2697390,"['deep underground hip hop', 'kentucky hip hop', 'pop', 'rap']",0.905,0.563,8,-6.135,1,0.102,9.71e-06,0.113,0.324,106.998,173948,4,True,1rDQ4oMwGJI7B4tovsBOxc,2LIk90788K0zvyj2JJVwkJ,First Class,2022
4,5,Running Up That Hill (A Deal With God) - 2018 Remaster,Kate Bush,81,1544689,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']",0.625,0.533,10,-11.903,0,0.0596,0.00266,0.0546,0.139,108.296,300840,4,False,29d0nY7TzCoi22XBqDQkiP,1aSxMhuvixZ8h9dK9jIDwL,Hounds of Love (2018 Remaster),2022
5,6,CUFF IT,Beyoncé,93,32772772,"['dance pop', 'pop', 'r&b']",0.78,0.689,7,-5.668,1,0.141,9.69e-06,0.0698,0.642,115.042,225389,4,True,1xzi1Jcr7mEi9K2RfzLOqS,6vWDO969PvNqNYHIOW5v0m,RENAISSANCE,2022
6,7,About Damn Time,Lizzo,86,5181564,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']",0.836,0.743,10,-6.305,0,0.0656,0,0.335,0.722,108.966,191822,4,True,1PckUlxKqWQs3RlWXVBLw3,56oDRnqbIiwx4mymNEv7dS,About Damn Time,2022
7,8,Bad Habit,Steve Lacy,88,2541894,['afrofuturism'],0.686,0.494,1,-7.093,1,0.0355,5.8e-05,0.402,0.7,168.946,232067,4,True,4k6Uh1HXdhtusDW5y8Gbvy,57vWImR43h4CaDao012Ofp,Gemini Rights,2022
8,9,Glimpse of Us,Joji,90,7425712,['viral pop'],0.44,0.317,8,-9.258,1,0.0531,4.78e-06,0.141,0.268,169.914,233456,3,False,6xGruZOHLs39ZbVccQTuPZ,3MZsBdqDrRTJihTHQrO6Dq,Glimpse of Us,2022
9,10,Late Night Talking,Harry Styles,90,24543919,['pop'],0.714,0.728,10,-4.595,1,0.0468,0,0.106,0.901,114.996,177955,4,False,1qEmFfgcLObUfQm0j1W2CK,6KImCVD70vtIoJWnq6nGn3,Harry's House,2022
10,11,Bam Bam (feat. Ed Sheeran),Camila Cabello,80,28613431,"['dance pop', 'pop', 'post-teen pop']",0.756,0.697,8,-6.377,1,0.0401,0,0.333,0.956,94.996,206071,4,False,2DB4DdfCFMw1iaR6JaR03a,4nDoRrQiYLoBzwC5BhVJzF,Familia,2022
11,12,Me Porto Bonito,Bad Bunny,95,59724899,"['reggaeton', 'trap latino']",0.911,0.712,1,-5.105,0,0.0817,2.68e-05,0.0933,0.425,92.005,178567,4,True,6Sq7ltF9Qa7SNFBsV5Cogx,4q3ewBCX7sLwd24euuV69X,Un Verano Sin Ti,2022
