,poistion,track_name,artist,popularity,followers,genres,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,track_id,art_id,album,year
21,22,Me And My Broken Heart,Rixton,78,734359,"['dance pop', 'pop', 'pop rock', 'post-teen pop']",0.545,0.783,5,-4.261,0,0.0345,0,0.132,0.551,174.084,193733,4,False,1oew3nFNY3vMacJAsvry0S,0kkxsdcaWmWU2yWAqclDh4,Let The Road,2014
22,23,Sugar,Maroon 5,81,38716706,['pop'],0.748,0.788,1,-7.055,1,0.0334,0,0.0863,0.884,120.076,235493,4,True,2iuZJX9X9P0GKaE93xcPjk,04gDigrS5kc9YWfZHwBETP,V,2014
23,24,Steal My Girl,One Direction,79,28271703,"['boy band', 'pop', 'post-teen pop', 'talent show']",0.536,0.768,10,-5.948,0,0.0347,0,0.114,0.545,77.217,228133,4,False,2Bs4jQEGMycglOfWPBqrVG,4AK6F7OLvEQ5QYCBNiQWHq,FOUR (Deluxe),2014
24,25,Best Day Of My Life,American Authors,78,1425401,"['indie poptimism', 'modern rock', 'pop rock']",0.673,0.902,2,-2.392,1,0.0346,0.000262,0.0558,0.538,100.012,194240,4,False,5Hroj5K7vLpIG4FNCRIjbP,0MlOPi3zIDMVrfA9R04Fe3,"Oh, What A Life",2014
25,26,Budapest,George Ezra,78,3850915,"['folk-pop', 'neo-singer-songwriter']",0.717,0.455,5,-8.303,1,0.0276,0,0.11,0.389,127.812,200733,4,False,2ixsaeFioXJmMgkkbd4uj1,2ysnwxxNtSgbb9t1m2Ur4j,Wanted on Voyage (Expanded Edition),2014
26,27,Love Me Harder,Ariana Grande,77,85188706,"['dance pop', 'pop']",0.472,0.714,1,-4.389,0,0.0334,0,0.0764,0.24,98.992,236133,4,False,5J4ZkQpzMUFojo1CtAZYpn,66CXWjxzNUsdJxJ2JdwvnR,My Everything (Deluxe),2014
27,28,Counting Stars,OneRepublic,77,14587655,"['piano rock', 'pop']",0.664,0.705,1,-4.972,0,0.0382,0,0.115,0.477,122.017,257840,4,False,6sy3LkhNFjJWlaeSMNwQ62,5Pwc4xIPtQLFEnJriah9YJ,Native,2014
28,29,Hey Brother,Avicii,77,22277533,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",0.545,0.78,7,-4.867,0,0.0436,4.64e-05,0.0828,0.458,125.014,255093,4,False,4lhqb6JvbHId48OUJGwymk,1vCWHaC5f2uS3yhpwWbIA6,True,2014
29,30,Animals,Maroon 5,80,38716706,['pop'],0.279,0.742,4,-6.46,0,0.0898,0,0.593,0.328,189.868,231013,4,False,2bL2gyO6kBdLkNSkxXNh6x,04gDigrS5kc9YWfZHwBETP,V,2014
30,31,Collard Greens,ScHoolboy Q,77,4317397,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",0.825,0.575,11,-4.87,1,0.0633,9.94e-06,0.205,0.65,153.954,299960,4,True,0zO8ctW0UiuOefR87OeJOZ,5IcR3N7QB1j6KBL8eImZ8m,Oxymoron (Deluxe),2014
