,poistion,track_name,artist,popularity,followers,genres,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,track_id,art_id,album,year
0,1,Royals,Lorde,78,9885762,"['art pop', 'metropopolis', 'nz pop', 'pop']",0.674,0.428,7,-9.504,1,0.122,0,0.132,0.337,84.878,190185,4,False,2dLLR6qlu5UJ5gk0dKz0h3,163tK9Wjr9P9DmM0AVK7lm,Pure Heroine,2013
1,2,Blurred Lines,Robin Thicke,55,1899090,"['contemporary r&b', 'dance pop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']",0.861,0.504,7,-7.707,1,0.0489,1.78e-05,0.0783,0.881,120.0,263053,4,False,5PUvinSo4MNqW7vmomGRS7,0ZrpamOxcZybMHGg1AYtHP,Blurred Lines,2013
2,3,Radioactive,Imagine Dragons,72,43605162,"['modern rock', 'rock']",0.448,0.784,9,-3.686,1,0.0627,0.000108,0.668,0.236,136.245,186813,4,False,4G8gkOterJn0Ywt6uhqbhp,53XhwfbYqKCa1cC15pYq2q,Night Visions,2013
3,4,Wake Me Up,Avicii,85,22277533,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",0.532,0.783,2,-5.697,1,0.0523,0.0012,0.161,0.643,124.08,247427,4,False,0nrRP2bk19rLc0orkWPQk2,1vCWHaC5f2uS3yhpwWbIA6,True,2013
4,5,Locked out of Heaven,Bruno Mars,86,44538470,"['dance pop', 'pop']",0.726,0.698,5,-4.165,1,0.0431,0,0.309,0.867,143.994,233478,4,False,3w3y8KPTfNeOKPiqUTakBh,0du5cEVh5yTK9QJze8zA0C,Unorthodox Jukebox,2013
5,6,Thrift Shop (feat. Wanz),Macklemore,77,2590389,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']",0.781,0.526,6,-6.986,0,0.293,0,0.0457,0.665,94.993,235613,4,True,6CjtS2JZH9RkDz5UVInsa9,5BcAKTbp20cv7tC5VqPFoC,The Heist,2013
6,7,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,81,9029109,"['electro', 'filter house']",0.794,0.811,6,-8.966,0,0.038,1.07e-06,0.101,0.862,116.047,248413,4,False,2Foc5Q5nqNiosCNqttzHof,4tZwfgrHOc3mvqYlEYSvVi,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],2013
7,8,Another Love,Tom Odell,93,2591709,"['chill pop', 'pop']",0.445,0.537,4,-8.532,0,0.04,1.65e-05,0.0944,0.131,122.769,244360,4,True,3JvKfv6T31zO0ini8iNItO,2txHhyCwHjUEpJjWrEyqyX,Long Way Down (Deluxe),2013
8,9,Sweater Weather,The Neighbourhood,92,10796781,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']",0.612,0.807,10,-2.81,1,0.0336,0.0177,0.101,0.398,124.053,240400,4,False,2QjOHCTQ1Jl3zawyYOpxh6,77SW9BnxLY8rJ0RciFqkHh,I Love You.,2013
9,10,Do I Wanna Know?,Arctic Monkeys,87,17060943,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",0.548,0.532,5,-7.596,1,0.0323,0.000263,0.217,0.405,85.03,272394,4,False,5FVd6KXrgO9B3JPmC8OPst,7Ln80lUS6He07XvHI8qqHH,AM,2013
