,poistion,track_name,artist,popularity,followers,genres,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,track_id,art_id,album,year
0,1,God's Plan,Drake,83,69172212,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.754,0.449,7,-9.211,1,0.109,8.29e-05,0.552,0.357,77.169,198973,4,True,6DCZcSspjsKoFjzjrWoCdn,3TVXtAsR1Inumwj472S9r4,Scorpion,2018
1,2,rockstar (feat. 21 Savage),Post Malone,84,38874119,"['dfw rap', 'melodic rap', 'rap']",0.585,0.52,5,-6.136,0,0.0712,7.01e-05,0.131,0.129,159.801,218147,4,True,0e7ipj03S05BNilyu5bRzt,246dkjvS1zLTtiykXe5h60,beerbongs & bentleys,2018
2,3,lovely (with Khalid),Billie Eilish,88,72417216,"['art pop', 'electropop', 'pop']",0.351,0.296,4,-10.109,0,0.0333,0,0.095,0.12,115.284,200186,4,False,0u2P5u6lvoDfwTYjAADbn4,6qqNVTkY8uBg9cP3Jd7DAH,lovely (with Khalid),2018
3,4,Call Out My Name,The Weeknd,88,53182739,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.461,0.593,1,-4.954,1,0.0356,0,0.307,0.175,134.17,228373,3,False,09mEdoA6zrmBPgTEN5qXmN,1Xyo4u8uXC1ZmMpatF05PJ,"My Dear Melancholy,",2018
4,5,One Kiss (with Dua Lipa),Calvin Harris,87,22985542,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",0.791,0.862,9,-3.24,0,0.11,2.19e-05,0.0814,0.592,123.994,214847,4,False,7ef4DlsgrMEH11cDZd32M6,7CajNmpbOovFoOoasH2HaY,One Kiss (with Dua Lipa),2018
5,6,Lucid Dreams,Juice WRLD,85,26564124,"['chicago rap', 'melodic rap']",0.511,0.566,6,-7.23,0,0.2,0,0.34,0.218,83.903,239836,4,True,285pBltuF7vW8TeWk8hdRR,4MCBfE4596Uoi2O4DtmEMz,Goodbye & Good Riddance,2018
6,7,The Middle,Zedd,79,5846564,"['complextro', 'dance pop', 'edm', 'electro house', 'german techno', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'tropical house']",0.753,0.657,7,-3.061,1,0.0449,0,0.112,0.437,107.01,184732,4,False,09IStsImFySgyp0pIQdqAc,2qxJFvFYMEDqd7ui6kSAcq,The Middle,2018
7,8,FRIENDS,Marshmello,78,34561050,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",0.626,0.88,9,-2.384,0,0.0504,0,0.128,0.534,95.079,202621,4,True,08bNPGLD8AhKpnnERrAc6G,64KEffDW9EtZ1y2vBYgq8T,FRIENDS,2018
8,9,I Like It,Cardi B,78,20696110,"['dance pop', 'pop', 'rap']",0.816,0.726,5,-3.998,0,0.129,0,0.372,0.65,136.048,253390,4,True,58q2HKrzhC3ozto2nDdN4z,4kYSro6naA4h99UJvo89HB,Invasion of Privacy,2018
9,10,we fell in love in october,girl in red,85,5530220,"['bedroom pop', 'indie pop', 'norwegian indie', 'pop']",0.566,0.366,7,-12.808,1,0.028,0.181,0.155,0.237,129.96,184154,4,False,6IPwKM3fUUzlElbvKw2sKl,3uwAm6vQy7kWPS2bciKWx9,we fell in love in october / October Passed Me By,2018
10,11,no tears left to cry,Ariana Grande,77,85188706,"['dance pop', 'pop']",0.699,0.713,9,-5.507,0,0.0594,3.11e-06,0.294,0.354,121.993,205920,4,False,2qT1uLXPVPzGgFOx4jtEuo,66CXWjxzNUsdJxJ2JdwvnR,Sweetener,2018
11,12,All The Stars (with SZA),Kendrick Lamar,83,22093154,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",0.698,0.633,8,-4.946,1,0.0597,0.000194,0.0926,0.552,96.924,232187,4,True,3GCdLUSnKSMJhs4Tj6CV3s,2YZyLoL8N0Wb9xBt1NhZWg,Black Panther The Album Music From And Inspired By,2018
12,13,SAD!,XXXTENTACION,82,39120306,"['emo rap', 'miami hip hop']",0.74,0.613,8,-4.88,1,0.145,0.00372,0.123,0.473,75.023,166606,4,True,3ee8Jmje8o58CHK66QrVC2,15UsOTVnJzReFVN1VCnxy4,?,2018
13,14,Yes Indeed,Lil Baby,82,12198066,"['atl hip hop', 'atl trap', 'rap', 'trap']",0.963,0.346,5,-9.309,0,0.53,0,0.108,0.562,119.957,142273,4,True,6vN77lE9LK6HP2DewaN6HZ,5f7VJjfbwm532GiveGC0ZK,Harder Than Ever,2018
14,15,Ric Flair Drip (with Metro Boomin),21 Savage,82,2522269,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'viral rap']",0.88,0.428,9,-8.28,1,0.206,5.05e-05,0.114,0.333,100.007,172800,4,True,7sO5G9EABYOXQKNPNiE9NR,4DdkRBBYG6Yk9Ka8tdJ9BW,Without Warning,2018
15,16,Happier,Marshmello,82,34561050,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",0.687,0.792,5,-2.749,1,0.0452,0,0.167,0.671,100.015,214290,4,False,2dpaYNEQHiRxtZbfNsse99,64KEffDW9EtZ1y2vBYgq8T,Happier,2018
16,17,SICKO MODE,Travis Scott,82,21413547,"['rap', 'slap house']",0.834,0.73,8,-3.714,1,0.222,0,0.124,0.446,155.008,312820,4,True,2xLMifQCjDGFmkHkpNLD9h,0Y5tJX1MQlPlqiwlOH1tJY,ASTROWORLD,2018
17,18,LOVE. FEAT. ZACARI.,Kendrick Lamar,82,22093154,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",0.8,0.585,10,-7.343,1,0.0924,0,0.153,0.779,126.058,213400,4,True,6PGoSes0D9eUDeeAafB2As,2YZyLoL8N0Wb9xBt1NhZWg,DAMN.,2018
18,19,Moonlight,XXXTENTACION,82,39120306,"['emo rap', 'miami hip hop']",0.921,0.537,9,-5.723,0,0.0804,0.00404,0.102,0.711,128.009,135090,4,True,0JP9xo3adEtGSdUEISiszL,15UsOTVnJzReFVN1VCnxy4,?,2018
