,poistion,track_name,artist,popularity,followers,genres,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,track_id,art_id,album,year
0,1,Old Town Road - Remix,Lil Nas X,78,12079807,"['lgbtq+ hip hop', 'pop']",0.878,0.619,6,-5.56,1,0.102,0,0.113,0.639,136.041,157067,4,False,2YpeDb67231RjR0MgVLzsG,7jVv8c5Fj3E9VhNjxT4snq,7 EP,2019
1,2,bad guy,Billie Eilish,83,72417216,"['art pop', 'electropop', 'pop']",0.701,0.425,7,-10.965,1,0.375,0.13,0.1,0.562,135.128,194088,4,False,2Fxmhks0bxGSBdJ92vM42m,6qqNVTkY8uBg9cP3Jd7DAH,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
2,3,Señorita,Shawn Mendes,80,39941886,"['canadian pop', 'dance pop', 'pop', 'viral pop']",0.759,0.548,9,-6.049,0,0.029,0,0.0828,0.749,116.967,190800,4,False,6v3KW9xbzN5yKLt9YKDYA2,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes (Deluxe),2019
3,4,7 rings,Ariana Grande,84,85188706,"['dance pop', 'pop']",0.778,0.317,1,-10.732,0,0.334,0,0.0881,0.327,140.048,178627,4,True,6ocbgoVGwYJhOv1GgI9NsF,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",2019
4,5,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,81,38874119,"['dfw rap', 'melodic rap', 'rap']",0.755,0.522,2,-4.368,1,0.0575,0,0.0685,0.925,89.96,157560,4,False,0RiRZpuVRbi7oqRdSMwhQY,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,2019
5,6,Someone You Loved,Lewis Capaldi,87,10130314,"['pop', 'uk pop']",0.501,0.405,1,-5.679,1,0.0319,0,0.105,0.446,109.891,182161,4,False,7qEHsqek33rTcFNT9PFqLf,4GNC7GD6oZMSxPGyXy4MNB,Divinely Uninspired To A Hellish Extent,2019
6,7,Without Me,Halsey,77,18852443,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop']",0.752,0.488,6,-7.05,1,0.0705,9.11e-06,0.0936,0.533,136.041,201661,4,True,5p7ujcrUXASCNwRaWNHR1C,26VFTg2z8YR0cCuwLzESi2,Without Me,2019
7,8,Let Me Down Slowly,Alec Benjamin,85,3936287,"['alt z', 'electropop', 'pop']",0.652,0.557,1,-5.714,0,0.0318,0,0.124,0.483,150.073,169354,4,False,2qxmye6gAegTMjLKEBoR3d,5IH6FPUwQTxPSXurCrcIov,Narrated For You,2019
8,9,Shallow,Lady Gaga,84,23923632,"['art pop', 'dance pop', 'pop']",0.572,0.385,7,-6.362,1,0.0308,0,0.231,0.323,95.799,215733,4,False,2VxeLyX666F8uXCJ0dZF8B,1HY2Jd0NmPuamShAr6KMms,A Star Is Born Soundtrack,2019
9,10,lovely (with Khalid),Billie Eilish,88,72417216,"['art pop', 'electropop', 'pop']",0.351,0.296,4,-10.109,0,0.0333,0,0.095,0.12,115.284,200186,4,False,0u2P5u6lvoDfwTYjAADbn4,6qqNVTkY8uBg9cP3Jd7DAH,lovely (with Khalid),2019
10,11,Circles,Post Malone,86,38874119,"['dfw rap', 'melodic rap', 'rap']",0.695,0.762,0,-3.497,1,0.0395,0.00244,0.0863,0.553,120.042,215280,4,False,21jGcNKet2qwijlDFuPiPb,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,2019
11,12,Lost in the Fire (feat. The Weeknd),Gesaffelstein,84,462076,"['dark clubbing', 'destroy techno']",0.658,0.671,2,-12.21,1,0.0363,0.000927,0.115,0.166,100.966,202093,4,True,2vXKRlJBXyOcvZYTdNeckS,3hteYQFiMFbJY7wS0xDymP,Hyperion,2019
12,13,Cruel Summer,Taylor Swift,84,62872493,['pop'],0.552,0.702,9,-5.707,1,0.157,2.06e-05,0.105,0.564,169.994,178427,4,False,1BxfuPKGuaTgP7aM0Bbdwr,06HL4z0CvFAxyc27GXpf02,Lover,2019
13,14,"thank u, next",Ariana Grande,82,85188706,"['dance pop', 'pop']",0.717,0.653,1,-5.634,1,0.0658,0,0.101,0.412,106.966,207320,4,True,3e9HZxeyfWwjeyPAMmWSSQ,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",2019
14,15,when the party's over,Billie Eilish,83,72417216,"['art pop', 'electropop', 'pop']",0.367,0.111,4,-14.084,1,0.0972,3.97e-05,0.0897,0.198,82.642,196077,4,False,43zdsphuZLzwA9k4DJhU0I,6qqNVTkY8uBg9cP3Jd7DAH,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
15,16,SICKO MODE,Travis Scott,82,21413547,"['rap', 'slap house']",0.834,0.73,8,-3.714,1,0.222,0,0.124,0.446,155.008,312820,4,True,2xLMifQCjDGFmkHkpNLD9h,0Y5tJX1MQlPlqiwlOH1tJY,ASTROWORLD,2019
16,17,Doin' Time,Lana Del Rey,82,18922353,"['art pop', 'pop']",0.641,0.559,7,-11.132,0,0.0355,0.00402,0.0937,0.523,144.982,202193,4,True,0Oqc0kKFsQ6MhFOLBNZIGX,00FQb4jTyendYWaN8pK0wa,Norman Fucking Rockwell!,2019
17,18,Robbery,Juice WRLD,81,26564124,"['chicago rap', 'melodic rap']",0.623,0.692,2,-5.122,1,0.0504,0,0.153,0.566,79.899,240051,4,True,6iaSML1PIYq936g62BDtBq,4MCBfE4596Uoi2O4DtmEMz,Death Race For Love (Bonus Track Version),2019
18,19,Lose You To Love Me,Selena Gomez,81,38617185,"['dance pop', 'pop', 'post-teen pop']",0.488,0.343,4,-8.985,1,0.0436,0,0.21,0.0978,102.819,206459,4,False,4l0Mvzj72xxOpRrp6h8nHi,0C8ZW7ezQVs4URX5aX7Kqx,Rare,2019
19,20,MIDDLE CHILD,J. Cole,81,18435617,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",0.837,0.364,8,-11.713,1,0.276,0,0.271,0.463,123.984,213594,4,True,2JvzF1RMd7lE3KmFlsyZD8,6l3HvQ5sa6mXTsMTB19rO5,MIDDLE CHILD,2019
20,21,Wow.,Post Malone,81,38874119,"['dfw rap', 'melodic rap', 'rap']",0.829,0.539,11,-7.359,0,0.208,1.78e-06,0.103,0.388,99.96,149547,4,True,7xQAfvXzm3AkraOtGPWIZg,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,2019
21,22,Lover,Taylor Swift,84,62872493,['pop'],0.359,0.543,7,-7.582,1,0.0919,1.58e-05,0.118,0.453,68.534,221307,4,False,1dGr1c8CrMLDpV6mPbImSI,06HL4z0CvFAxyc27GXpf02,Lover,2019
22,23,a lot,21 Savage,81,12107195,"['atl hip hop', 'rap']",0.837,0.636,1,-7.643,1,0.086,0.00125,0.342,0.274,145.972,288624,4,True,2t8yVaLvJ0RenpXUIAC52d,1URnnhqYAYcrqrcwql10ft,i am > i was,2019
23,24,High Hopes,Panic! At The Disco,81,11541794,['modern rock'],0.579,0.904,5,-2.729,1,0.0618,0,0.064,0.681,82.014,190947,4,False,1rqqCSm0Qe4I9rUvWncaom,20JZFwl6HVl6yg8a4H3ZqK,Pray for the Wicked,2019
24,25,Sweet but Psycho,Ava Max,80,5705404,"['dance pop', 'pop']",0.72,0.706,1,-4.719,1,0.0473,0,0.166,0.62,133.002,187436,4,False,7DnAm9FOTWE3cUvso43HhI,4npEfmQ6YuiwW1GpUmaq3F,Heaven & Hell,2019
25,26,Sucker,Jonas Brothers,80,6618719,"['boy band', 'dance pop', 'pop', 'post-teen pop']",0.842,0.734,1,-5.065,0,0.0588,0,0.106,0.952,137.958,181027,4,False,22vgEDb5hykfaTwLuskFGD,7gOdHgIoIKoe4i9Tta6qdD,Happiness Begins,2019
26,27,Bruises,Lewis Capaldi,80,10130314,"['pop', 'uk pop']",0.736,0.308,4,-7.83,1,0.0677,0,0.186,0.361,111.202,220492,4,False,4Of7rzpRpV1mWRbhp5rAqG,4GNC7GD6oZMSxPGyXy4MNB,Divinely Uninspired To A Hellish Extent,2019
27,28,EARFQUAKE,"Tyler, The Creator",80,9959462,"['hip hop', 'rap']",0.554,0.498,9,-8.866,1,0.0685,5.98e-06,0.795,0.413,79.635,190067,4,True,5hVghJ4KaYES3BFUATCYn0,4V8LLVI7PbaPR0K2TGSxFF,IGOR,2019
28,29,Boy With Luv (feat. Halsey),BTS,80,57938764,"['k-pop', 'k-pop boy group']",0.645,0.862,11,-4.761,0,0.0845,0,0.193,0.803,119.947,229773,4,False,4a9tbd947vo9K8Vti9JwcI,3Nrfpe0tUJi4K4DXYWgMUX,MAP OF THE SOUL : PERSONA,2019
29,30,Ransom,Lil Tecca,80,5588350,"['melodic rap', 'pluggnb', 'rap', 'trap', 'viral rap']",0.745,0.642,7,-6.257,0,0.287,0,0.0658,0.226,179.974,131240,4,True,1lOe9qE0vR9zwWQAOk6CoO,4Ga1P7PMIsmqEZqhYZQgDo,We Love You Tecca,2019
30,31,Better Now,Post Malone,81,38874119,"['dfw rap', 'melodic rap', 'rap']",0.68,0.578,10,-5.804,1,0.04,0,0.135,0.341,145.038,231267,4,True,7dt6x5M1jzdTEt8oCbisTK,246dkjvS1zLTtiykXe5h60,beerbongs & bentleys,2019
31,32,boyfriend (with Social House),Ariana Grande,80,85188706,"['dance pop', 'pop']",0.4,0.795,10,-3.731,0,0.461,0,0.159,0.702,190.097,186107,4,True,0Ryd8975WihbObpp5cPW1t,66CXWjxzNUsdJxJ2JdwvnR,boyfriend,2019
32,33,Ride It,Regard,79,199692,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'slap house', 'tropical house']",0.88,0.751,7,-4.258,0,0.0874,6.43e-05,0.106,0.884,117.948,157606,4,False,2tnVG71enUj33Ic2nFN6kZ,4ofCBoyEiGSePFAG500xev,Ride It,2019
33,34,Going Bad (feat. Drake),Meek Mill,79,6692014,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.889,0.496,4,-6.365,0,0.0905,0,0.252,0.544,86.003,180522,4,True,2IRZnDFmlqMuOrYOLnZZyc,20sxb77xiYeusSH8cVdatc,Championships,2019
34,35,Callaita,Bad Bunny,79,59724899,"['reggaeton', 'trap latino']",0.61,0.624,2,-4.773,1,0.309,2.12e-06,0.243,0.244,176.169,250534,4,True,2TH65lNHgvLxCKXM3apjxI,4q3ewBCX7sLwd24euuV69X,Callaita,2019
35,36,Goodbyes (feat. Young Thug),Post Malone,79,38874119,"['dfw rap', 'melodic rap', 'rap']",0.548,0.653,5,-3.875,1,0.081,0,0.103,0.163,150.068,174853,4,True,0t3ZvGKlmYmVsDzBJAXK8C,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,2019
36,37,Hold Me While You Wait,Lewis Capaldi,78,10130314,"['pop', 'uk pop']",0.688,0.53,11,-5.507,1,0.0333,0,0.0995,0.162,106.958,205687,4,False,60iSKGrGazRzICtMjADNSM,4GNC7GD6oZMSxPGyXy4MNB,Divinely Uninspired To A Hellish Extent,2019
37,38,Con Calma,Daddy Yankee,78,30328383,"['latin hip hop', 'reggaeton', 'trap latino']",0.737,0.86,8,-2.652,0,0.0593,1.94e-06,0.0574,0.656,93.989,193227,4,False,5w9c2J52mkdntKOmRLeM2m,4VMYDCV2IEDYJArk749S6m,Con Calma,2019
