,poistion,track_name,artist,popularity,followers,genres,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,track_id,art_id,album,year
0,1,Uptown Funk (feat. Bruno Mars),Mark Ronson,82,983123,"['dance pop', 'pop']",0.856,0.609,0,-7.223,1,0.0824,8.15e-05,0.0344,0.928,114.988,269667,4,True,32OlwWuMpZ6b0aN2RZOeMS,3hv9jJF3adDNsBSIQDqcjp,Uptown Special,2015
1,2,Thinking out Loud,Ed Sheeran,83,105492653,"['pop', 'uk pop']",0.781,0.445,2,-6.061,1,0.0295,0,0.184,0.591,78.998,281560,4,False,34gCuhDGsG4bRPIf9bb02f,6eUKZXaKkcviH0Ku9w2n3V,x (Deluxe Edition),2015
2,3,See You Again (feat. Charlie Puth),Wiz Khalifa,81,10798575,"['dance pop', 'hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.689,0.481,10,-7.503,1,0.0815,1.03e-06,0.0649,0.283,80.025,229526,4,False,2JzZzZUQj3Qff7wapcbKjc,137W8MRPWKqSmrBGDBFSop,See You Again (feat. Charlie Puth),2015
3,4,What Do You Mean?,Justin Bieber,78,67760523,"['canadian pop', 'pop']",0.845,0.567,5,-8.118,0,0.0956,0.00142,0.0811,0.793,125.02,205680,4,False,4B0JvthVoAAuygILe3n4Bs,1uNFoZAHBGtllmzznpCI3s,Purpose (Deluxe),2015
4,5,Lean On,Major Lazer,72,6317607,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap', 'tropical house']",0.723,0.809,7,-3.081,0,0.0625,0.00123,0.565,0.274,98.007,176561,4,False,1Lim1Py7xBgbAkAys3AGAG,738wLrAtLtCtFOLvQBXOXp,Peace Is The Mission (Extended),2015
5,6,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,76,53182739,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.659,0.381,2,-5.922,0,0.0304,0,0.0972,0.426,119.844,252227,3,False,2PIvq1pGrUjY007X5y1UpM,1Xyo4u8uXC1ZmMpatF05PJ,"Earned It (Fifty Shades Of Grey) [From The ""Fifty Shades Of Grey"" Soundtrack]",2015
6,7,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,78,11358718,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'post-teen pop', 'uk pop']",0.262,0.606,8,-6.646,1,0.0484,0,0.125,0.275,189.857,252534,4,False,3zHq9ouUJQFQRf3cm1rRLu,0X2BH1fck6amBIoJhDVmmJ,Delirium (Deluxe),2015
7,8,Daddy Issues,The Neighbourhood,86,10796781,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']",0.588,0.521,10,-9.461,1,0.0329,0.149,0.123,0.337,85.012,260173,4,False,5E30LdtzQTGqRvNd7l6kG5,77SW9BnxLY8rJ0RciFqkHh,Wiped Out!,2015
8,9,The Nights,Avicii,85,22277533,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",0.527,0.835,6,-5.298,1,0.0433,0,0.249,0.654,125.983,176658,4,False,0ct6r3EGTcMLPtrXHDvVjc,1vCWHaC5f2uS3yhpwWbIA6,The Days / Nights,2015
9,10,Stressed Out,Twenty One Pilots,84,22840349,"['modern rock', 'rock']",0.734,0.637,4,-5.677,0,0.141,2.29e-05,0.0602,0.648,169.977,202333,4,False,3CRDbSIZ4r5MsZ0YwxuEkn,3YQKmKGau1PzlVlkL1iodx,Blurryface,2015
10,11,Blank Space,Taylor Swift,75,62872493,['pop'],0.753,0.678,5,-5.421,1,0.0644,1.64e-06,0.13,0.583,96.006,231827,4,False,1p80LdxRV74UKvL8gnD7ky,06HL4z0CvFAxyc27GXpf02,1989,2015
11,12,The Less I Know The Better,Tame Impala,84,6015417,"['australian psych', 'neo-psychedelic']",0.64,0.74,4,-4.083,1,0.0284,0.00678,0.167,0.785,116.879,216320,4,True,6K4t31amVTZDgR3sKmwUJJ,5INjqkS1o8h1imAzPqGZBb,Currents,2015
12,13,Love Yourself,Justin Bieber,83,67760523,"['canadian pop', 'pop']",0.609,0.378,4,-9.828,1,0.438,0,0.28,0.515,100.418,233720,4,False,50kpGaPAhYJ3sGmk6vplg0,1uNFoZAHBGtllmzznpCI3s,Purpose (Deluxe),2015
