,poistion,track_name,artist,popularity,followers,genres,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,track_id,art_id,album,year
0,1,Starboy,The Weeknd,89,53182739,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.679,0.587,7,-7.015,1,0.276,6.35e-06,0.137,0.486,186.003,230453,4,True,7MXVkk9YMctZqd1Srtv4MB,1Xyo4u8uXC1ZmMpatF05PJ,Starboy,2016
1,2,One Dance,Drake,85,69172212,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.792,0.625,1,-5.609,1,0.0536,0.0018,0.329,0.37,103.967,173987,4,False,1zi7xx7UVEFkmKfv06H8x0,3TVXtAsR1Inumwj472S9r4,Views,2016
2,3,Love Yourself,Justin Bieber,83,67760523,"['canadian pop', 'pop']",0.609,0.378,4,-9.828,1,0.438,0,0.28,0.515,100.418,233720,4,False,50kpGaPAhYJ3sGmk6vplg0,1uNFoZAHBGtllmzznpCI3s,Purpose (Deluxe),2016
3,4,Closer,The Chainsmokers,84,19679978,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",0.748,0.524,8,-5.599,1,0.0338,0,0.111,0.661,95.01,244960,4,False,7BKLCZ1jbUBVqRi2FVlTVw,69GGBxA162lTqCwzJG5jLp,Closer,2016
4,5,Hello,Adele,72,44110183,"['british soul', 'pop', 'pop soul', 'uk pop']",0.578,0.43,5,-6.134,0,0.0305,0,0.0854,0.288,78.991,295502,4,False,62PaSfnXSMyLshYJrlTuL3,4dpARuHxo51G3z768sgnrY,25,2016
5,6,Panda,Desiigner,69,3407309,"['pop rap', 'rap', 'trap', 'underground hip hop', 'viral trap']",0.576,0.766,10,-4.943,0,0.449,1.68e-06,0.366,0.236,144.833,246761,4,True,5YEOzOojehCqxGQCcQiyR4,7pFeBzX627ff0VnN6bxPR4,New English,2016
6,7,Pink + White,Frank Ocean,85,10256027,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",0.545,0.545,9,-7.362,1,0.107,5.48e-05,0.417,0.549,159.94,184516,3,False,3xKsf9qdS1CyvXSMEid6g8,2h93pZq0e7k5yf4dywlkpM,Blonde,2016
7,8,Cheap Thrills (feat. Sean Paul),Sia,67,24949389,"['australian dance', 'australian pop', 'dance pop', 'pop']",0.592,0.8,6,-4.931,0,0.215,2.01e-06,0.0775,0.728,89.972,224813,4,False,6b3b7lILUJqXcp6w9wNQSm,5WUlDfRSoLAfcVSX1WnrxN,Cheap Thrills (feat. Sean Paul),2016
8,9,Treat You Better,Shawn Mendes,84,39941886,"['canadian pop', 'dance pop', 'pop', 'viral pop']",0.444,0.819,10,-4.078,0,0.341,0,0.107,0.747,82.695,187973,4,False,3QGsuHI8jO1Rx4JWLUh9jd,7n2wHs1TKAczGzO7Dd2rGr,Illuminate,2016
9,10,Work,Rihanna,75,51162263,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']",0.725,0.534,11,-6.238,1,0.0946,0,0.0919,0.558,91.974,219320,4,True,72TFWvU3wUYdUuxejTTIzt,5pKCCKE2ajJHZ9KAiaK11H,ANTI (Deluxe),2016
